Years,x2_5_hr,rank,Probability,Frequency
"2006-2007",13.92,1,5,20
"2009-2010",10.88,2,10,10
"2008-2009",6.92,3,15,6.66666666666667
"2021-2022",5.92,4,20,5
"2011-2012",5.04,5,25,4
"2012-2013",4.96,6,30,3.33333333333333
"2019-2020",4.72,7,35,2.85714285714286
"2018-2019",4.4,8,40,2.5
"2015-2016",3.92,9,45,2.22222222222222
"2003-2004",3.88,10,50,2
"2017-2018",3.28,11,55,1.81818181818182
"2007-2008",3.24,12,60,1.66666666666667
"2013-2014",3.24,13,65,1.53846153846154
"2014-2015",2.84,14,70,1.42857142857143
"2005-2006",2.6,15,75,1.33333333333333
"2020-2021",2.36,16,80,1.25
"2004-2005",2.36,17,85,1.17647058823529
"2016-2017",2.28,18,90,1.11111111111111
"2010-2011",2.16,19,95,1.05263157894737
