Years,x2_5_hr,rank,Probability,Frequency
"2019-2020",30.56,1,5.55555555555556,18
"2005-2006",19.12,2,11.1111111111111,9
"2020-2021",14.16,3,16.6666666666667,6
"2006-2007",11.72,4,22.2222222222222,4.5
"2010-2011",11.68,5,27.7777777777778,3.6
"2021-2022",11.48,6,33.3333333333333,3
"2017-2018",11.28,7,38.8888888888889,2.57142857142857
"2014-2015",11.2,8,44.4444444444444,2.25
"2011-2012",11.08,9,50,2
"2018-2019",10.32,10,55.5555555555556,1.8
"2009-2010",9.72,11,61.1111111111111,1.63636363636364
"2015-2016",9.68,12,66.6666666666667,1.5
"2008-2009",9.16,13,72.2222222222222,1.38461538461538
"2012-2013",8.72,14,77.7777777777778,1.28571428571429
"2016-2017",8,15,83.3333333333333,1.2
"2013-2014",7.12,16,88.8888888888889,1.125
"2007-2008",6.96,17,94.4444444444444,1.05882352941176
