Years,x2_5_hr,rank,Probability,Frequency
"2014-2015",24.4824,1,4.76190476190476,21
"2015-2016",13.08,2,9.52380952380952,10.5
"2009-2010",12.76,3,14.2857142857143,7
"2012-2013",12.04,4,19.047619047619,5.25
"2020-2021",12.04,5,23.8095238095238,4.2
"2019-2020",11.4,6,28.5714285714286,3.5
"2002-2003",11.12,7,33.3333333333333,3
"2017-2018",10,8,38.0952380952381,2.625
"2013-2014",9.8,9,42.8571428571429,2.33333333333333
"2010-2011",9.76,10,47.6190476190476,2.1
"2016-2017",9.08,11,52.3809523809524,1.90909090909091
"2021-2022",9.04,12,57.1428571428571,1.75
"2005-2006",8.84,13,61.9047619047619,1.61538461538462
"2006-2007",8.84,14,66.6666666666667,1.5
"2004-2005",8.2,15,71.4285714285714,1.4
"2011-2012",7.76,16,76.1904761904762,1.3125
"2007-2008",7.28,17,80.9523809523809,1.23529411764706
"2008-2009",7.16,18,85.7142857142857,1.16666666666667
"2003-2004",7.04,19,90.4761904761905,1.10526315789474
"2018-2019",6.92,20,95.2380952380952,1.05
