Years,x2_5_hr,rank,Probability,Frequency
"2001-2002",12,1,4,25
"2017-2018",10.76,2,8,12.5
"2008-2009",10.56,3,12,8.33333333333333
"2019-2020",10.48,4,16,6.25
"2020-2021",9.76,5,20,5
"2013-2014",9.6,6,24,4.16666666666667
"2012-2013",9.24,7,28,3.57142857142857
"2003-2004",9,8,32,3.125
"2015-2016",8.92,9,36,2.77777777777778
"2010-2011",8.92,10,40,2.5
"2009-2010",8.48,11,44,2.27272727272727
"2002-2003",8.08,12,48,2.08333333333333
"1998-1999",7.8,13,52,1.92307692307692
"2014-2015",7.76,14,56,1.78571428571429
"2018-2019",7.72,15,60,1.66666666666667
"2004-2005",7.4,16,64,1.5625
"2011-2012",6.84,17,68,1.47058823529412
"1999-2000",6.72,18,72,1.38888888888889
"2005-2006",6.64,19,76,1.31578947368421
"2006-2007",6.36,20,80,1.25
"2016-2017",5.64,21,84,1.19047619047619
"2021-2022",4.8,22,88,1.13636363636364
"2000-2001",4.6,23,92,1.08695652173913
"2007-2008",3.68,24,96,1.04166666666667
