Years,x2_5_hr,rank,Probability,Frequency
"2019-2020",13.52,1,5.55555555555556,18
"2009-2010",12.28,2,11.1111111111111,9
"2005-2006",12.12,3,16.6666666666667,6
"2020-2021",11.24,4,22.2222222222222,4.5
"2014-2015",11.2,5,27.7777777777778,3.6
"2012-2013",10.64,6,33.3333333333333,3
"2016-2017",10.64,7,38.8888888888889,2.57142857142857
"2018-2019",9.76,8,44.4444444444444,2.25
"2006-2007",9.48,9,50,2
"2013-2014",9.08,10,55.5555555555556,1.8
"2017-2018",8.72,11,61.1111111111111,1.63636363636364
"2008-2009",8.6,12,66.6666666666667,1.5
"2021-2022",8.48,13,72.2222222222222,1.38461538461538
"2011-2012",8.12,14,77.7777777777778,1.28571428571429
"2010-2011",8.04,15,83.3333333333333,1.2
"2015-2016",7.32,16,88.8888888888889,1.125
"2007-2008",6.56,17,94.4444444444444,1.05882352941176
