Years,x2_hr,rank,Probability,Frequency
"2009-2010",13.7,1,5.55555555555556,18
"2005-2006",13.6,2,11.1111111111111,9
"2017-2018",13.55,3,16.6666666666667,6
"2018-2019",10.85,4,22.2222222222222,4.5
"2008-2009",10.65,5,27.7777777777778,3.6
"2013-2014",9.95,6,33.3333333333333,3
"2016-2017",9.9,7,38.8888888888889,2.57142857142857
"2015-2016",9.85,8,44.4444444444444,2.25
"2007-2008",9.65,9,50,2
"2019-2020",9.55,10,55.5555555555556,1.8
"2006-2007",9.3,11,61.1111111111111,1.63636363636364
"2020-2021",8.65,12,66.6666666666667,1.5
"2012-2013",8.55,13,72.2222222222222,1.38461538461538
"2014-2015",8.4,14,77.7777777777778,1.28571428571429
"2010-2011",7.05,15,83.3333333333333,1.2
"2011-2012",6.95,16,88.8888888888889,1.125
"2021-2022",6.6,17,94.4444444444444,1.05882352941176
