Years,x2_hr,rank,Probability,Frequency
"2017-2018",21.55,1,5.26315789473684,19
"2020-2021",21.1,2,10.5263157894737,9.5
"2011-2012",19.75,3,15.7894736842105,6.33333333333333
"2014-2015",18.05,4,21.0526315789474,4.75
"2010-2011",15.55,5,26.3157894736842,3.8
"2009-2010",15.05,6,31.5789473684211,3.16666666666667
"2004-2005",14.15,7,36.8421052631579,2.71428571428571
"2015-2016",13.05,8,42.1052631578947,2.375
"2016-2017",12.35,9,47.3684210526316,2.11111111111111
"2012-2013",12.1,10,52.6315789473684,1.9
"2019-2020",11.7,11,57.8947368421053,1.72727272727273
"2007-2008",10.9,12,63.1578947368421,1.58333333333333
"2018-2019",10.45,13,68.4210526315789,1.46153846153846
"2021-2022",9.75,14,73.6842105263158,1.35714285714286
"2006-2007",9.1,15,78.9473684210526,1.26666666666667
"2005-2006",8.85,16,84.2105263157895,1.1875
"2008-2009",7.45,17,89.4736842105263,1.11764705882353
"2013-2014",6,18,94.7368421052632,1.05555555555556
