Years,x2_hr,rank,Probability,Frequency
"2013-2014",13.55,1,3.7037037037037,27
"2014-2015",10.4,2,7.40740740740741,13.5
"1997-1998",10.35,3,11.1111111111111,9
"2008-2009",9.35,4,14.8148148148148,6.75
"2000-2001",8.95,5,18.5185185185185,5.4
"2019-2020",8.3,6,22.2222222222222,4.5
"2005-2006",7.9,7,25.9259259259259,3.85714285714286
"2002-2003",7.7,8,29.6296296296296,3.375
"2004-2005",7.7,9,33.3333333333333,3
"2009-2010",7.35,10,37.037037037037,2.7
"1996-1997",7.25,11,40.7407407407407,2.45454545454545
"2015-2016",6.9,12,44.4444444444444,2.25
"2018-2019",6.75,13,48.1481481481481,2.07692307692308
"2003-2004",6.65,14,51.8518518518518,1.92857142857143
"2010-2011",6.65,15,55.5555555555556,1.8
"2017-2018",6.35,16,59.2592592592593,1.6875
"2012-2013",6.1,17,62.962962962963,1.58823529411765
"2006-2007",5.45,18,66.6666666666667,1.5
"2016-2017",5.15,19,70.3703703703704,1.42105263157895
"1999-2000",4.55,20,74.0740740740741,1.35
"2020-2021",4.55,21,77.7777777777778,1.28571428571429
"2001-2002",3.95,22,81.4814814814815,1.22727272727273
"2021-2022",3.8,23,85.1851851851852,1.17391304347826
"2011-2012",3.55,24,88.8888888888889,1.125
"2007-2008",3.5,25,92.5925925925926,1.08
"1998-1999",2.6,26,96.2962962962963,1.03846153846154
