Years,x2_hr,rank,Probability,Frequency
"2020-2021",32.25,1,3.84615384615385,26
"2002-2003",22.45,2,7.69230769230769,13
"1999-2000",21.4,3,11.5384615384615,8.66666666666667
"2012-2013",18.35,4,15.3846153846154,6.5
"2021-2022",17.8,5,19.2307692307692,5.2
"2010-2011",17.1,6,23.0769230769231,4.33333333333333
"2019-2020",17.05,7,26.9230769230769,3.71428571428571
"2014-2015",16.95,8,30.7692307692308,3.25
"2008-2009",16.2,9,34.6153846153846,2.88888888888889
"2001-2002",15.45,10,38.4615384615385,2.6
"2009-2010",14.8,11,42.3076923076923,2.36363636363636
"2015-2016",13.3,12,46.1538461538462,2.16666666666667
"1994-1995",12.45,13,50,2
"2000-2001",12.25,14,53.8461538461538,1.85714285714286
"2018-2019",12,15,57.6923076923077,1.73333333333333
"2006-2007",11.65,16,61.5384615384615,1.625
"2004-2005",11.6,17,65.3846153846154,1.52941176470588
"2007-2008",11.4,18,69.2307692307692,1.44444444444444
"2013-2014",10.6,19,73.0769230769231,1.36842105263158
"2016-2017",10.25,20,76.9230769230769,1.3
"2011-2012",10.2,21,80.7692307692308,1.23809523809524
"2005-2006",8.65,22,84.6153846153846,1.18181818181818
"2017-2018",8.5,23,88.4615384615385,1.1304347826087
"1993-1994",7.75,24,92.3076923076923,1.08333333333333
"2003-2004",7.2,25,96.1538461538462,1.04
