Years,x2_hr,rank,Probability,Frequency
"2019-2020",20.9,1,3.84615384615385,26
"2000-2001",19.9,2,7.69230769230769,13
"2017-2018",17.9,3,11.5384615384615,8.66666666666667
"2001-2002",17.65,4,15.3846153846154,6.5
"1997-1998",17.45,5,19.2307692307692,5.2
"2003-2004",15.65,6,23.0769230769231,4.33333333333333
"2011-2012",15.55,7,26.9230769230769,3.71428571428571
"2006-2007",15.1,8,30.7692307692308,3.25
"2014-2015",15.1,9,34.6153846153846,2.88888888888889
"2016-2017",14.7,10,38.4615384615385,2.6
"2007-2008",14.05,11,42.3076923076923,2.36363636363636
"2009-2010",13.35,12,46.1538461538462,2.16666666666667
"2005-2006",12.95,13,50,2
"2012-2013",12.8,14,53.8461538461538,1.85714285714286
"2010-2011",12.7,15,57.6923076923077,1.73333333333333
"2018-2019",12.7,16,61.5384615384615,1.625
"2020-2021",11.1,17,65.3846153846154,1.52941176470588
"1998-1999",10.8,18,69.2307692307692,1.44444444444444
"1996-1997",10.1,19,73.0769230769231,1.36842105263158
"2008-2009",9.75,20,76.9230769230769,1.3
"2021-2022",9.65,21,80.7692307692308,1.23809523809524
"2004-2005",9.3,22,84.6153846153846,1.18181818181818
"1999-2000",9.2,23,88.4615384615385,1.1304347826087
"2015-2016",6.8,24,92.3076923076923,1.08333333333333
"2013-2014",6.65,25,96.1538461538462,1.04
