Years,x2_hr,rank,Probability,Frequency
"1995-1996",29,1,3.44827586206897,29
"2000-2001",26.15,2,6.89655172413793,14.5
"2005-2006",24.45,3,10.3448275862069,9.66666666666667
"1996-1997",14.85,4,13.7931034482759,7.25
"2017-2018",14.7,5,17.2413793103448,5.8
"2006-2007",13.85,6,20.6896551724138,4.83333333333333
"1997-1998",13.7,7,24.1379310344828,4.14285714285714
"2014-2015",13,8,27.5862068965517,3.625
"2016-2017",11.8,9,31.0344827586207,3.22222222222222
"2009-2010",11.0165,10,34.4827586206897,2.9
"2008-2009",10.6,11,37.9310344827586,2.63636363636364
"2002-2003",10.4,12,41.3793103448276,2.41666666666667
"2003-2004",10.4,13,44.8275862068966,2.23076923076923
"2001-2002",10.2,14,48.2758620689655,2.07142857142857
"2018-2019",9.7,15,51.7241379310345,1.93333333333333
"2020-2021",9.5,16,55.1724137931034,1.8125
"2012-2013",8.85,17,58.6206896551724,1.70588235294118
"1999-2000",8.75,18,62.0689655172414,1.61111111111111
"1994-1995",8.55,19,65.5172413793103,1.52631578947368
"2007-2008",8,20,68.9655172413793,1.45
"2004-2005",7.85,21,72.4137931034483,1.38095238095238
"2013-2014",7.75,22,75.8620689655172,1.31818181818182
"2011-2012",7.6,23,79.3103448275862,1.26086956521739
"2015-2016",7.05,24,82.7586206896552,1.20833333333333
"2021-2022",7,25,86.2068965517241,1.16
"2019-2020",6.85,26,89.6551724137931,1.11538461538462
"2010-2011",6.55,27,93.1034482758621,1.07407407407407
"1998-1999",5.85,28,96.551724137931,1.03571428571429
