Years,x2_hr,rank,Probability,Frequency
"2009-2010",12.45,1,6.25,16
"2008-2009",11.05,2,12.5,8
"2017-2018",10.15,3,18.75,5.33333333333333
"2018-2019",9.25,4,25,4
"2013-2014",8.7,5,31.25,3.2
"2014-2015",8.5,6,37.5,2.66666666666667
"2019-2020",8.4,7,43.75,2.28571428571429
"2012-2013",7.95,8,50,2
"2015-2016",7.8,9,56.25,1.77777777777778
"2020-2021",7.4,10,62.5,1.6
"2011-2012",7,11,68.75,1.45454545454545
"2016-2017",6.45,12,75,1.33333333333333
"2010-2011",6.3,13,81.25,1.23076923076923
"2007-2008",6.1,14,87.5,1.14285714285714
"2021-2022",6.1,15,93.75,1.06666666666667
