Years,x2_hr,rank,Probability,Frequency
"2006-2007",11.25,1,7.69230769230769,13
"2009-2010",10.9,2,15.3846153846154,6.5
"2017-2018",10.55,3,23.0769230769231,4.33333333333333
"2004-2005",9.9,4,30.7692307692308,3.25
"2005-2006",7.9,5,38.4615384615385,2.6
"2014-2015",7.15,6,46.1538461538462,2.16666666666667
"2007-2008",6.5,7,53.8461538461538,1.85714285714286
"2018-2019",5.95,8,61.5384615384615,1.625
"2016-2017",4.85,9,69.2307692307692,1.44444444444444
"2015-2016",4.15,10,76.9230769230769,1.3
"2020-2021",3.2,11,84.6153846153846,1.18181818181818
"2008-2009",2.95,12,92.3076923076923,1.08333333333333
