Years,x2_hr,rank,Probability,Frequency
"2009-2010",26.2,1,4.34782608695652,23
"2010-2011",25.95,2,8.69565217391304,11.5
"2017-2018",23.5,3,13.0434782608696,7.66666666666667
"2003-2004",23.25,4,17.3913043478261,5.75
"2001-2002",22.55,5,21.7391304347826,4.6
"2011-2012",19,6,26.0869565217391,3.83333333333333
"2020-2021",18.15,7,30.4347826086957,3.28571428571429
"2004-2005",18,8,34.7826086956522,2.875
"2006-2007",16.45,9,39.1304347826087,2.55555555555556
"2007-2008",15.8,10,43.4782608695652,2.3
"2012-2013",15.6,11,47.8260869565217,2.09090909090909
"2015-2016",14.35,12,52.1739130434783,1.91666666666667
"2016-2017",13.6,13,56.5217391304348,1.76923076923077
"2005-2006",13.1,14,60.8695652173913,1.64285714285714
"2019-2020",12.9,15,65.2173913043478,1.53333333333333
"2018-2019",12.9,16,69.5652173913043,1.4375
"2014-2015",12.35,17,73.9130434782609,1.35294117647059
"2021-2022",12.35,18,78.2608695652174,1.27777777777778
"2000-2001",12.25,19,82.6086956521739,1.21052631578947
"2013-2014",11.75,20,86.9565217391304,1.15
"2002-2003",10.95,21,91.304347826087,1.0952380952381
"2008-2009",9.4,22,95.6521739130435,1.04545454545455
