Years,x2_hr,rank,Probability,Frequency
"2011-2012",27.85,1,6.25,16
"2020-2021",24.65,2,12.5,8
"2017-2018",23.65,3,18.75,5.33333333333333
"2021-2022",15.9,4,25,4
"2013-2014",15.65,5,31.25,3.2
"2010-2011",13.7,6,37.5,2.66666666666667
"2012-2013",13.3,7,43.75,2.28571428571429
"2018-2019",12.8,8,50,2
"2016-2017",12.35,9,56.25,1.77777777777778
"2014-2015",12,10,62.5,1.6
"2008-2009",10.5,11,68.75,1.45454545454545
"2015-2016",10.4,12,75,1.33333333333333
"2009-2010",10.35,13,81.25,1.23076923076923
"2007-2008",10,14,87.5,1.14285714285714
"2019-2020",9.85,15,93.75,1.06666666666667
