Years,x2_hr,rank,Probability,Frequency
"2006-2007",15.95,1,5,20
"2009-2010",13.6,2,10,10
"2008-2009",7.25,3,15,6.66666666666667
"2021-2022",6.6,4,20,5
"2011-2012",6.3,5,25,4
"2018-2019",5.5,6,30,3.33333333333333
"2012-2013",5.35,7,35,2.85714285714286
"2019-2020",4.85,8,40,2.5
"2003-2004",4.55,9,45,2.22222222222222
"2015-2016",4.5,10,50,2
"2007-2008",4.05,11,55,1.81818181818182
"2017-2018",3.9,12,60,1.66666666666667
"2013-2014",3.4,13,65,1.53846153846154
"2005-2006",3.05,14,70,1.42857142857143
"2014-2015",3,15,75,1.33333333333333
"2020-2021",2.95,16,80,1.25
"2004-2005",2.65,17,85,1.17647058823529
"2016-2017",2.65,18,90,1.11111111111111
"2010-2011",2.35,19,95,1.05263157894737
