Years,x30_min,rank,Probability,Frequency
"1997-1998",41.4,1,3.7037037037037,27
"2013-2014",33.2,2,7.40740740740741,13.5
"2002-2003",28.8,3,11.1111111111111,9
"2000-2001",26.2,4,14.8148148148148,6.75
"2008-2009",26,5,18.5185185185185,5.4
"2004-2005",24.2,6,22.2222222222222,4.5
"1996-1997",23.2,7,25.9259259259259,3.85714285714286
"2012-2013",21,8,29.6296296296296,3.375
"2014-2015",20.6,9,33.3333333333333,3
"2019-2020",20.6,10,37.037037037037,2.7
"2009-2010",19.8,11,40.7407407407407,2.45454545454545
"2003-2004",18.4,12,44.4444444444444,2.25
"2018-2019",18.2,13,48.1481481481481,2.07692307692308
"2005-2006",17.4,14,51.8518518518518,1.92857142857143
"2017-2018",16.8,15,55.5555555555556,1.8
"2010-2011",14.4,16,59.2592592592593,1.6875
"2020-2021",14.2,17,62.962962962963,1.58823529411765
"2001-2002",13,18,66.6666666666667,1.5
"2016-2017",13,19,70.3703703703704,1.42105263157895
"2015-2016",12.4,20,74.0740740740741,1.35
"2007-2008",10.6,21,77.7777777777778,1.28571428571429
"2006-2007",10.2,22,81.4814814814815,1.22727272727273
"2021-2022",9,23,85.1851851851852,1.17391304347826
"2011-2012",7.8,24,88.8888888888889,1.125
"1999-2000",7,25,92.5925925925926,1.08
"1998-1999",5,26,96.2962962962963,1.03846153846154
