Years,x30_min,rank,Probability,Frequency
"2018-2019",64.2,1,5,20
"2017-2018",58.2,2,10,10
"2015-2016",38.6,3,15,6.66666666666667
"2013-2014",36.8,4,20,5
"2012-2013",36,5,25,4
"2009-2010",28.6,6,30,3.33333333333333
"2011-2012",28.2,7,35,2.85714285714286
"2008-2009",27.2,8,40,2.5
"2020-2021",25.8,9,45,2.22222222222222
"2019-2020",23.8,10,50,2
"2014-2015",23.6,11,55,1.81818181818182
"2006-2007",23.4,12,60,1.66666666666667
"2004-2005",21.8,13,65,1.53846153846154
"2007-2008",16.2,14,70,1.42857142857143
"2021-2022",15.6,15,75,1.33333333333333
"2010-2011",14.8,16,80,1.25
"2005-2006",14.8,17,85,1.17647058823529
"2003-2004",13.2,18,90,1.11111111111111
"2016-2017",11.8,19,95,1.05263157894737
