Years,x30_min,rank,Probability,Frequency
"2014-2015",18.4,1,5.88235294117647,17
"2020-2021",17.2,2,11.7647058823529,8.5
"2015-2016",13.4,3,17.6470588235294,5.66666666666667
"2012-2013",11.8,4,23.5294117647059,4.25
"2006-2007",11.6,5,29.4117647058824,3.4
"2007-2008",10.8,6,35.2941176470588,2.83333333333333
"2008-2009",8,7,41.1764705882353,2.42857142857143
"2018-2019",8,8,47.0588235294118,2.125
"2013-2014",7.6,9,52.9411764705882,1.88888888888889
"2017-2018",7.6,10,58.8235294117647,1.7
"2009-2010",7,11,64.7058823529412,1.54545454545455
"2019-2020",6.4,12,70.5882352941177,1.41666666666667
"2010-2011",5,13,76.4705882352941,1.30769230769231
"2011-2012",4.2,14,82.3529411764706,1.21428571428571
"2016-2017",3.8,15,88.2352941176471,1.13333333333333
"2021-2022",3.8,16,94.1176470588235,1.0625
