Years,x30_min,rank,Probability,Frequency
"2019-2020",47.4,1,6.66666666666667,15
"2010-2011",39.8,2,13.3333333333333,7.5
"2014-2015",39.6,3,20,5
"2012-2013",37,4,26.6666666666667,3.75
"2021-2022",35,5,33.3333333333333,3
"2018-2019",31.2,6,40,2.5
"2020-2021",31,7,46.6666666666667,2.14285714285714
"2016-2017",26.4,8,53.3333333333333,1.875
"2017-2018",26.4,9,60,1.66666666666667
"2015-2016",25,10,66.6666666666667,1.5
"2008-2009",23.8,11,73.3333333333333,1.36363636363636
"2009-2010",22.4,12,80,1.25
"2013-2014",22.4,13,86.6666666666667,1.15384615384615
"2011-2012",19.2,14,93.3333333333333,1.07142857142857
