Years,x30_min,rank,Probability,Frequency
"2005-2006",29.8,1,4.76190476190476,21
"2021-2022",27,2,9.52380952380952,10.5
"2002-2003",24.2,3,14.2857142857143,7
"2008-2009",24,4,19.047619047619,5.25
"2014-2015",18.6,5,23.8095238095238,4.2
"2018-2019",17.8,6,28.5714285714286,3.5
"2009-2010",17.2,7,33.3333333333333,3
"2006-2007",17,8,38.0952380952381,2.625
"2020-2021",17,9,42.8571428571429,2.33333333333333
"2017-2018",16.6,10,47.6190476190476,2.1
"2012-2013",16.4,11,52.3809523809524,1.90909090909091
"2004-2005",14.8,12,57.1428571428571,1.75
"2016-2017",14.4,13,61.9047619047619,1.61538461538462
"2019-2020",13.2,14,66.6666666666667,1.5
"2003-2004",12,15,71.4285714285714,1.4
"2013-2014",11.6,16,76.1904761904762,1.3125
"2010-2011",11.4,17,80.9523809523809,1.23529411764706
"2015-2016",11.4,18,85.7142857142857,1.16666666666667
"2007-2008",10.8,19,90.4761904761905,1.10526315789474
"2011-2012",10.8,20,95.2380952380952,1.05
