Years,x30_min,rank,Probability,Frequency
"2009-2010",30,1,5,20
"2006-2007",25.2,2,10,10
"2018-2019",20.8,3,15,6.66666666666667
"2011-2012",20.4,4,20,5
"2007-2008",15.8,5,25,4
"2013-2014",11.8,6,30,3.33333333333333
"2012-2013",11.2,7,35,2.85714285714286
"2019-2020",10.8,8,40,2.5
"2020-2021",10.8,9,45,2.22222222222222
"2021-2022",10.8,10,50,2
"2005-2006",10.4,11,55,1.81818181818182
"2017-2018",9.8,12,60,1.66666666666667
"2008-2009",8.8,13,65,1.53846153846154
"2010-2011",8.6,14,70,1.42857142857143
"2016-2017",8.4,15,75,1.33333333333333
"2015-2016",8.2,16,80,1.25
"2003-2004",7.6,17,85,1.17647058823529
"2014-2015",7.2,18,90,1.11111111111111
"2004-2005",7,19,95,1.05263157894737
