Years,x3_5_hr,rank,Probability,Frequency
"2006-2007",14.9714285714286,1,5.88235294117647,17
"2020-2021",13.5428571428571,2,11.7647058823529,8.5
"2015-2016",13.4,3,17.6470588235294,5.66666666666667
"2007-2008",11.6,4,23.5294117647059,4.25
"2017-2018",10.4,5,29.4117647058824,3.4
"2009-2010",9.62857142857143,6,35.2941176470588,2.83333333333333
"2011-2012",8.62857142857143,7,41.1764705882353,2.42857142857143
"2014-2015",7.91428571428572,8,47.0588235294118,2.125
"2021-2022",7.6,9,52.9411764705882,1.88888888888889
"2019-2020",7.42857142857143,10,58.8235294117647,1.7
"2016-2017",6.74285714285714,11,64.7058823529412,1.54545454545455
"2010-2011",6.45714285714286,12,70.5882352941177,1.41666666666667
"2018-2019",6.4,13,76.4705882352941,1.30769230769231
"2008-2009",5.88571428571429,14,82.3529411764706,1.21428571428571
"2012-2013",5.05714285714286,15,88.2352941176471,1.13333333333333
"2013-2014",4.71428571428571,16,94.1176470588235,1.0625
