Years,x3_5_hr,rank,Probability,Frequency
"2009-2010",9.6,1,6.66666666666667,15
"2015-2016",5.97142857142857,2,13.3333333333333,7.5
"2013-2014",5.51428571428571,3,20,5
"2019-2020",4.8,4,26.6666666666667,3.75
"2021-2022",4,5,33.3333333333333,3
"2008-2009",3.62857142857143,6,40,2.5
"2014-2015",3.37142857142857,7,46.6666666666667,2.14285714285714
"2011-2012",2.28571428571429,8,53.3333333333333,1.875
"2018-2019",2.2,9,60,1.66666666666667
"2017-2018",2.17142857142857,10,66.6666666666667,1.5
"2012-2013",2.05714285714286,11,73.3333333333333,1.36363636363636
"2016-2017",1.57142857142857,12,80,1.25
"2010-2011",1.51428571428571,13,86.6666666666667,1.15384615384615
"2020-2021",0.971428571428571,14,93.3333333333333,1.07142857142857
