Years,x3_5_hr,rank,Probability,Frequency
"2001-2002",15.0857142857143,1,3.33333333333333,30
"2002-2003",12.2,2,6.66666666666667,15
"2009-2010",11.2857142857143,3,10,10
"2019-2020",10.8857142857143,4,13.3333333333333,7.5
"2010-2011",10.8285714285714,5,16.6666666666667,6
"1993-1994",10.08,6,20,5
"1999-2000",9.71428571428571,7,23.3333333333333,4.28571428571429
"2015-2016",9.62857142857143,8,26.6666666666667,3.75
"1995-1996",8.45714285714286,9,30,3.33333333333333
"2003-2004",8.31428571428571,10,33.3333333333333,3
"2004-2005",7.94285714285714,11,36.6666666666667,2.72727272727273
"2008-2009",7.77142857142857,12,40,2.5
"1996-1997",7.6,13,43.3333333333333,2.30769230769231
"2020-2021",7.11428571428571,14,46.6666666666667,2.14285714285714
"2017-2018",7,15,50,2
"2011-2012",6.74285714285714,16,53.3333333333333,1.875
"2005-2006",6.62857142857143,17,56.6666666666667,1.76470588235294
"1997-1998",6.28571428571429,18,60,1.66666666666667
"1998-1999",6.28571428571429,19,63.3333333333333,1.57894736842105
"2012-2013",6.25714285714286,20,66.6666666666667,1.5
"1994-1995",6.084,21,70,1.42857142857143
"2006-2007",6.02857142857143,22,73.3333333333333,1.36363636363636
"2016-2017",5.97142857142857,23,76.6666666666667,1.30434782608696
"2000-2001",5.82857142857143,24,80,1.25
"2018-2019",5.65714285714286,25,83.3333333333333,1.2
"2014-2015",5.65714285714286,26,86.6666666666667,1.15384615384615
"2021-2022",5.08571428571428,27,90,1.11111111111111
"2013-2014",4.8,28,93.3333333333333,1.07142857142857
"2007-2008",4.08571428571429,29,96.6666666666667,1.03448275862069
