Years,x3_5_hr,rank,Probability,Frequency
"2016-2017",8.94285714285714,1,9.09090909090909,11
"2010-2011",7.17142857142857,2,18.1818181818182,5.5
"2011-2012",6.6,3,27.2727272727273,3.66666666666667
"2013-2014",6.54285714285714,4,36.3636363636364,2.75
"2014-2015",6.31428571428571,5,45.4545454545455,2.2
"2018-2019",6.11428571428571,6,54.5454545454545,1.83333333333333
"2012-2013",6.02857142857143,7,63.6363636363636,1.57142857142857
"2015-2016",5.25714285714286,8,72.7272727272727,1.375
"2017-2018",4.97142857142857,9,81.8181818181818,1.22222222222222
"2019-2020",2.65714285714286,10,90.9090909090909,1.1
