Years,x3_5_hr,rank,Probability,Frequency
"2019-2020",14.6857142857143,1,6.66666666666667,15
"2012-2013",12.6571428571429,2,13.3333333333333,7.5
"2021-2022",12.3714285714286,3,20,5
"2014-2015",11.8285714285714,4,26.6666666666667,3.75
"2017-2018",10.9142857142857,5,33.3333333333333,3
"2020-2021",10.5142857142857,6,40,2.5
"2010-2011",9.54285714285714,7,46.6666666666667,2.14285714285714
"2016-2017",7.71428571428571,8,53.3333333333333,1.875
"2013-2014",7.42857142857143,9,60,1.66666666666667
"2018-2019",7.28571428571429,10,66.6666666666667,1.5
"2009-2010",7.08571428571429,11,73.3333333333333,1.36363636363636
"2015-2016",6.88571428571429,12,80,1.25
"2011-2012",6.68571428571429,13,86.6666666666667,1.15384615384615
"2008-2009",5.28571428571429,14,93.3333333333333,1.07142857142857
