Years,x3_5_hr,rank,Probability,Frequency
"2011-2012",13.0571428571429,1,5.88235294117647,17
"2009-2010",12.2,2,11.7647058823529,8.5
"2012-2013",10.5714285714286,3,17.6470588235294,5.66666666666667
"2014-2015",9.97142857142857,4,23.5294117647059,4.25
"2019-2020",9.22857142857143,5,29.4117647058824,3.4
"2018-2019",8.94285714285714,6,35.2941176470588,2.83333333333333
"2015-2016",8.8,7,41.1764705882353,2.42857142857143
"2020-2021",8.51428571428571,8,47.0588235294118,2.125
"2007-2008",8.34285714285714,9,52.9411764705882,1.88888888888889
"2021-2022",7.2,10,58.8235294117647,1.7
"2016-2017",7.2,11,64.7058823529412,1.54545454545455
"2006-2007",7.11428571428571,12,70.5882352941177,1.41666666666667
"2008-2009",6.68571428571429,13,76.4705882352941,1.30769230769231
"2013-2014",5.4,14,82.3529411764706,1.21428571428571
"2010-2011",5,15,88.2352941176471,1.13333333333333
"2017-2018",4.91428571428571,16,94.1176470588235,1.0625
