Years,x3_5_hr,rank,Probability,Frequency
"2009-2010",12.6571428571429,1,8.33333333333333,12
"2005-2006",12.6,2,16.6666666666667,6
"2002-2003",11.2571428571429,3,25,4
"2008-2009",10.1428571428571,4,33.3333333333333,3
"2010-2011",9.62857142857143,5,41.6666666666667,2.4
"2001-2002",7.51428571428571,6,50,2
"2003-2004",7.17142857142857,7,58.3333333333333,1.71428571428571
"2004-2005",7.11428571428571,8,66.6666666666667,1.5
"2000-2001",6.85714285714286,9,75,1.33333333333333
"2007-2008",6.82857142857143,10,83.3333333333333,1.2
"2006-2007",4.71428571428571,11,91.6666666666667,1.09090909090909
