Years,x3_5_hr,rank,Probability,Frequency
"1997-1998",16,1,3.84615384615385,26
"2000-2001",13.65714286,2,7.69230769230769,13
"2019-2020",13,3,11.5384615384615,8.66666666666667
"2001-2002",12.91428571,4,15.3846153846154,6.5
"2003-2004",12.2,5,19.2307692307692,5.2
"2016-2017",11.57142857,6,23.0769230769231,4.33333333333333
"2006-2007",10.8,7,26.9230769230769,3.71428571428571
"2014-2015",10.68571429,8,30.7692307692308,3.25
"2010-2011",10.22857143,9,34.6153846153846,2.88888888888889
"2017-2018",10.22857143,10,38.4615384615385,2.6
"2005-2006",10.17142857,11,42.3076923076923,2.36363636363636
"2020-2021",10.17142857,12,46.1538461538462,2.16666666666667
"2011-2012",9.628571429,13,50,2
"2012-2013",9.428571429,14,53.8461538461538,1.85714285714286
"2007-2008",9.085714286,15,57.6923076923077,1.73333333333333
"2009-2010",8.028571429,16,61.5384615384615,1.625
"1999-2000",7.657142857,17,65.3846153846154,1.52941176470588
"2018-2019",7.657142857,18,69.2307692307692,1.44444444444444
"2008-2009",7.6,19,73.0769230769231,1.36842105263158
"2004-2005",7.2,20,76.9230769230769,1.3
"2021-2022",7.114285714,21,80.7692307692308,1.23809523809524
"1996-1997",6.657142857,22,84.6153846153846,1.18181818181818
"1998-1999",6.371428571,23,88.4615384615385,1.1304347826087
"2015-2016",6.114285714,24,92.3076923076923,1.08333333333333
"2013-2014",4.228571429,25,96.1538461538462,1.04
