Years,x3_5_hr,rank,Probability,Frequency
"2017-2018",15.6857142857143,1,6.25,16
"2011-2012",14.1428571428571,2,12.5,8
"2010-2011",13.9142857142857,3,18.75,5.33333333333333
"2012-2013",13.4285714285714,4,25,4
"2020-2021",12.5714285714286,5,31.25,3.2
"2019-2020",12.3142857142857,6,37.5,2.66666666666667
"2014-2015",12.1142857142857,7,43.75,2.28571428571429
"2007-2008",11.4857142857143,8,50,2
"2021-2022",11.0571428571429,9,56.25,1.77777777777778
"2008-2009",10.9714285714286,10,62.5,1.6
"2009-2010",10.8571428571429,11,68.75,1.45454545454545
"2018-2019",10.3142857142857,12,75,1.33333333333333
"2016-2017",9.45714285714286,13,81.25,1.23076923076923
"2015-2016",9.11428571428571,14,87.5,1.14285714285714
"2013-2014",5.05714285714286,15,93.75,1.06666666666667
