Years,x3_5_hr,rank,Probability,Frequency
"2020-2021",21.1714285714286,1,8.33333333333333,12
"2018-2019",19.1428571428571,2,16.6666666666667,6
"2011-2012",16.8571428571429,3,25,4
"2017-2018",11.8571428571429,4,33.3333333333333,3
"2014-2015",11.4857142857143,5,41.6666666666667,2.4
"2019-2020",10.0857142857143,6,50,2
"2021-2022",9.77142857142857,7,58.3333333333333,1.71428571428571
"2013-2014",8.85714285714286,8,66.6666666666667,1.5
"2016-2017",8.31428571428571,9,75,1.33333333333333
"2015-2016",7.65714285714286,10,83.3333333333333,1.2
"2012-2013",6.14285714285714,11,91.6666666666667,1.09090909090909
