Years,x3_5_hr,rank,Probability,Frequency
"2009-2010",11.3142857142857,1,6.25,16
"2014-2015",8.45714285714286,2,12.5,8
"2016-2017",8.17142857142857,3,18.75,5.33333333333333
"2021-2022",8.14285714285714,4,25,4
"2020-2021",7.88571428571429,5,31.25,3.2
"2012-2013",7.54285714285714,6,37.5,2.66666666666667
"2010-2011",7.51428571428571,7,43.75,2.28571428571429
"2015-2016",7.42857142857143,8,50,2
"2013-2014",7.2,9,56.25,1.77777777777778
"2008-2009",7.11428571428571,10,62.5,1.6
"2007-2008",6.57142857142857,11,68.75,1.45454545454545
"2018-2019",6.34285714285714,12,75,1.33333333333333
"2011-2012",5.91428571428571,13,81.25,1.23076923076923
"2019-2020",5.82857142857143,14,87.5,1.14285714285714
"2017-2018",5.34285714285714,15,93.75,1.06666666666667
