Years,x3_5_hr,rank,Probability,Frequency
"2009-2010",8.02857142857143,1,6.25,16
"2014-2015",7.48571428571429,2,12.5,8
"2015-2016",6.97142857142857,3,18.75,5.33333333333333
"2018-2019",6.85714285714286,4,25,4
"2008-2009",6.37142857142857,5,31.25,3.2
"2020-2021",6.31428571428571,6,37.5,2.66666666666667
"2017-2018",6.02857142857143,7,43.75,2.28571428571429
"2021-2022",5.6,8,50,2
"2019-2020",5.34285714285714,9,56.25,1.77777777777778
"2012-2013",5.22857142857143,10,62.5,1.6
"2016-2017",5.17142857142857,11,68.75,1.45454545454545
"2013-2014",4.97142857142857,12,75,1.33333333333333
"2007-2008",4.94285714285714,13,81.25,1.23076923076923
"2010-2011",4.28571428571429,14,87.5,1.14285714285714
"2011-2012",4.22857142857143,15,93.75,1.06666666666667
