Years,x3_5_hr,rank,Probability,Frequency
"2013-2014",8.45714285714286,1,7.69230769230769,13
"2012-2013",7.82857142857143,2,15.3846153846154,6.5
"2017-2018",7.57142857142857,3,23.0769230769231,4.33333333333333
"2018-2019",7.48571428571429,4,30.7692307692308,3.25
"2015-2016",6.14285714285714,5,38.4615384615385,2.6
"2014-2015",5.62857142857143,6,46.1538461538462,2.16666666666667
"2019-2020",5.62857142857143,7,53.8461538461538,1.85714285714286
"2016-2017",5.48571428571429,8,61.5384615384615,1.625
"2011-2012",4.77142857142857,9,69.2307692307692,1.44444444444444
"2021-2022",4.37142857142857,10,76.9230769230769,1.3
"2010-2011",4.02857142857143,11,84.6153846153846,1.18181818181818
"2020-2021",3.8,12,92.3076923076923,1.08333333333333
