Years,x3_5_hr,rank,Probability,Frequency
"2017-2018",7.11428571428571,1,7.69230769230769,13
"2006-2007",6.42857142857143,2,15.3846153846154,6.5
"2009-2010",6.22857142857143,3,23.0769230769231,4.33333333333333
"2004-2005",5.65714285714286,4,30.7692307692308,3.25
"2014-2015",5.57142857142857,5,38.4615384615385,2.6
"2005-2006",4.62857142857143,6,46.1538461538462,2.16666666666667
"2007-2008",4.51428571428571,7,53.8461538461538,1.85714285714286
"2016-2017",3.65714285714286,8,61.5384615384615,1.625
"2018-2019",3.4,9,69.2307692307692,1.44444444444444
"2008-2009",2.45714285714286,10,76.9230769230769,1.3
"2015-2016",2.37142857142857,11,84.6153846153846,1.18181818181818
"2020-2021",2.28571428571429,12,92.3076923076923,1.08333333333333
