Years,x3_5_hr,rank,Probability,Frequency
"2013-2014",8.6,1,6.25,16
"2021-2022",8.2,2,12.5,8
"2018-2019",7.57142857142857,3,18.75,5.33333333333333
"2012-2013",6.28571428571429,4,25,4
"2020-2021",5.17142857142857,5,31.25,3.2
"2017-2018",5.17142857142857,6,37.5,2.66666666666667
"2019-2020",5.11428571428571,7,43.75,2.28571428571429
"2009-2010",5.02857142857143,8,50,2
"2016-2017",4.94285714285714,9,56.25,1.77777777777778
"2011-2012",4.91428571428572,10,62.5,1.6
"2008-2009",4.62857142857143,11,68.75,1.45454545454545
"2015-2016",4.6,12,75,1.33333333333333
"2007-2008",4.45714285714286,13,81.25,1.23076923076923
"2010-2011",4.37142857142857,14,87.5,1.14285714285714
"2014-2015",4.28571428571429,15,93.75,1.06666666666667
