Years,x3_5_hr,rank,Probability,Frequency
"2021-2022",12.7142857142857,1,6.66666666666667,15
"2009-2010",9.57142857142857,2,13.3333333333333,7.5
"2015-2016",8.37142857142857,3,20,5
"2019-2020",7.6,4,26.6666666666667,3.75
"2018-2019",7.57142857142857,5,33.3333333333333,3
"2017-2018",7.05714285714286,6,40,2.5
"2012-2013",6.51428571428571,7,46.6666666666667,2.14285714285714
"2008-2009",6.37142857142857,8,53.3333333333333,1.875
"2020-2021",6,9,60,1.66666666666667
"2014-2015",5.88571428571429,10,66.6666666666667,1.5
"2010-2011",5.68571428571429,11,73.3333333333333,1.36363636363636
"2016-2017",5.54285714285714,12,80,1.25
"2007-2008",5.4,13,86.6666666666667,1.15384615384615
"2013-2014",4.71428571428571,14,93.3333333333333,1.07142857142857
