Years,x3_5_hr,rank,Probability,Frequency
"2015-2016",17.2857142857143,1,3.2258064516129,31
"2008-2009",10.6,2,6.45161290322581,15.5
"2017-2018",8.94285714285714,3,9.67741935483871,10.3333333333333
"2019-2020",8.91428571428571,4,12.9032258064516,7.75
"2002-2003",8.82857142857143,5,16.1290322580645,6.2
"2020-2021",8.71428571428571,6,19.3548387096774,5.16666666666667
"2010-2011",8.54285714285714,7,22.5806451612903,4.42857142857143
"1999-2000",8.25714285714286,8,25.8064516129032,3.875
"2001-2002",8.17142857142857,9,29.0322580645161,3.44444444444444
"2007-2008",8,10,32.258064516129,3.1
"2009-2010",7.77142857142857,11,35.4838709677419,2.81818181818182
"2018-2019",7.74285714285714,12,38.7096774193548,2.58333333333333
"2005-2006",7.6,13,41.9354838709677,2.38461538461538
"1998-1999",7.11428571428571,14,45.1612903225806,2.21428571428571
"2014-2015",7.08571428571429,15,48.3870967741936,2.06666666666667
"2013-2014",6.74285714285714,16,51.6129032258064,1.9375
"2016-2017",6.48571428571429,17,54.8387096774194,1.82352941176471
"1996-1997",6.45714285714286,18,58.0645161290323,1.72222222222222
"2000-2001",6.42857142857143,19,61.2903225806452,1.63157894736842
"1993-1994",6.34285714285714,20,64.5161290322581,1.55
"2006-2007",6.31428571428571,21,67.741935483871,1.47619047619048
"2012-2013",6.17142857142857,22,70.9677419354839,1.40909090909091
"2003-2004",5.82857142857143,23,74.1935483870968,1.34782608695652
"1997-1998",5.62857142857143,24,77.4193548387097,1.29166666666667
"2004-2005",5.31428571428571,25,80.6451612903226,1.24
"2021-2022",5.17142857142857,26,83.8709677419355,1.19230769230769
"1992-1993",5.05714285714286,27,87.0967741935484,1.14814814814815
"1995-1996",4.8,28,90.3225806451613,1.10714285714286
"2011-2012",4.31428571428571,29,93.5483870967742,1.06896551724138
"1994-1995",3.14285714285714,30,96.7741935483871,1.03333333333333
