Years,x3_5_hr,rank,Probability,Frequency
"2015-2016",10.8571428571429,1,3.84615384615385,26
"2008-2009",9.65714285714286,2,7.69230769230769,13
"2019-2020",9.14285714285714,3,11.5384615384615,8.66666666666667
"2001-2002",8.8,4,15.3846153846154,6.5
"2002-2003",7.62857142857143,5,19.2307692307692,5.2
"2003-2004",7.45714285714286,6,23.0769230769231,4.33333333333333
"2017-2018",7.42857142857143,7,26.9230769230769,3.71428571428571
"2006-2007",7.4,8,30.7692307692308,3.25
"2009-2010",7.4,9,34.6153846153846,2.88888888888889
"2014-2015",7.34285714285714,10,38.4615384615385,2.6
"2020-2021",7.17142857142857,11,42.3076923076923,2.36363636363636
"2013-2014",6.8,12,46.1538461538462,2.16666666666667
"1998-1999",6.71428571428571,13,50,2
"2005-2006",6.68571428571429,14,53.8461538461538,1.85714285714286
"2010-2011",6.6,15,57.6923076923077,1.73333333333333
"2004-2005",5.97142857142857,16,61.5384615384615,1.625
"1999-2000",5.77142857142857,17,65.3846153846154,1.52941176470588
"2012-2013",5.68571428571429,18,69.2307692307692,1.44444444444444
"2018-2019",5.6,19,73.0769230769231,1.36842105263158
"2007-2008",5.42857142857143,20,76.9230769230769,1.3
"1997-1998",4.91428571428571,21,80.7692307692308,1.23809523809524
"1996-1997",4.88571428571429,22,84.6153846153846,1.18181818181818
"2021-2022",4.54285714285714,23,88.4615384615385,1.1304347826087
"2016-2017",4.45714285714286,24,92.3076923076923,1.08333333333333
"2011-2012",4.05714285714286,25,96.1538461538462,1.04
