Years,x3_hr,rank,Probability,Frequency
"2007-2008",13.1333333333333,1,3.57142857142857,28
"2019-2020",11.1333333333333,2,7.14285714285714,14
"1997-1998",10.5333333333333,3,10.7142857142857,9.33333333333333
"2020-2021",10.4,4,14.2857142857143,7
"2013-2014",10.1666666666667,5,17.8571428571429,5.6
"2010-2011",9.93333333333333,6,21.4285714285714,4.66666666666667
"2000-2001",9.03333333333333,7,25,4
"2001-2002",8.83333333333333,8,28.5714285714286,3.5
"2006-2007",8.7,9,32.1428571428571,3.11111111111111
"2002-2003",8.63333333333333,10,35.7142857142857,2.8
"2016-2017",8.46666666666667,11,39.2857142857143,2.54545454545455
"2003-2004",8,12,42.8571428571429,2.33333333333333
"2005-2006",7.76666666666667,13,46.4285714285714,2.15384615384615
"2015-2016",7.46666666666667,14,50,2
"2012-2013",7.26666666666667,15,53.5714285714286,1.86666666666667
"2004-2005",7,16,57.1428571428571,1.75
"2009-2010",6.66666666666667,17,60.7142857142857,1.64705882352941
"2011-2012",6.5,18,64.2857142857143,1.55555555555556
"2017-2018",6.13333333333333,19,67.8571428571429,1.47368421052632
"2014-2015",6.06666666666667,20,71.4285714285714,1.4
"2018-2019",6.06666666666667,21,75,1.33333333333333
"1996-1997",5.8,22,78.5714285714286,1.27272727272727
"2021-2022",5.36666666666667,23,82.1428571428571,1.21739130434783
"2008-2009",5.2,24,85.7142857142857,1.16666666666667
"1999-2000",3.36666666666667,25,89.2857142857143,1.12
"1995-1996",2.6,26,92.8571428571429,1.07692307692308
"1998-1999",0.566666666666667,27,96.4285714285714,1.03703703703704
