Years,x3_hr,rank,Probability,Frequency
"2001-2002",15.1666666666667,1,3.33333333333333,30
"2002-2003",13.0666666666667,2,6.66666666666667,15
"2009-2010",12.4333333333333,3,10,10
"2010-2011",11.5666666666667,4,13.3333333333333,7.5
"2019-2020",11.4333333333333,5,16.6666666666667,6
"1993-1994",10.4866666666667,6,20,5
"2015-2016",10.4333333333333,7,23.3333333333333,4.28571428571429
"1999-2000",10.3,8,26.6666666666667,3.75
"1995-1996",9.66666666666667,9,30,3.33333333333333
"2003-2004",9.56666666666667,10,33.3333333333333,3
"1996-1997",8.86666666666667,11,36.6666666666667,2.72727272727273
"2004-2005",8.7,12,40,2.5
"2008-2009",8.06666666666667,13,43.3333333333333,2.30769230769231
"2017-2018",8,14,46.6666666666667,2.14285714285714
"2005-2006",7.43333333333333,15,50,2
"2020-2021",7.4,16,53.3333333333333,1.875
"1998-1999",7.33333333333333,17,56.6666666666667,1.76470588235294
"2011-2012",7.23333333333333,18,60,1.66666666666667
"2012-2013",6.6,19,63.3333333333333,1.57894736842105
"2006-2007",6.56666666666667,20,66.6666666666667,1.5
"2018-2019",6.5,21,70,1.42857142857143
"1994-1995",6.461,22,73.3333333333333,1.36363636363636
"2016-2017",6.4,23,76.6666666666667,1.30434782608696
"1997-1998",6.4,24,80,1.25
"2021-2022",5.8,25,83.3333333333333,1.2
"2014-2015",5.76666666666667,26,86.6666666666667,1.15384615384615
"2000-2001",5.76666666666667,27,90,1.11111111111111
"2013-2014",5.43333333333333,28,93.3333333333333,1.07142857142857
"2007-2008",4.6,29,96.6666666666667,1.03448275862069
