Years,x3_hr,rank,Probability,Frequency
"2015-2016",9.76666666666667,1,6.25,16
"2018-2019",5.23333333333333,2,12.5,8
"2010-2011",4.9,3,18.75,5.33333333333333
"2019-2020",4.86666666666667,4,25,4
"2013-2014",4.36666666666667,5,31.25,3.2
"2017-2018",4.36666666666667,6,37.5,2.66666666666667
"2009-2010",3.6,7,43.75,2.28571428571429
"2021-2022",3.4,8,50,2
"2014-2015",2.76666666666667,9,56.25,1.77777777777778
"2020-2021",2.63333333333333,10,62.5,1.6
"2012-2013",2.56666666666667,11,68.75,1.45454545454545
"2007-2008",2.36666666666667,12,75,1.33333333333333
"2008-2009",2.1,13,81.25,1.23076923076923
"2016-2017",2,14,87.5,1.14285714285714
"2011-2012",1.93333333333333,15,93.75,1.06666666666667
