Years,x3_hr,rank,Probability,Frequency
"2016-2017",7.766666667,1,4.76190476190476,21
"2012-2013",5.5,2,9.52380952380952,10.5
"2009-2010",4.466666667,3,14.2857142857143,7
"2017-2018",3.766666667,4,19.047619047619,5.25
"2021-2022",3.6,5,23.8095238095238,4.2
"2019-2020",3.566666667,6,28.5714285714286,3.5
"2013-2014",2.566666667,7,33.3333333333333,3
"2020-2021",2.3,8,38.0952380952381,2.625
"2003-2004",2.233333333,9,42.8571428571429,2.33333333333333
"2006-2007",2.066666667,10,47.6190476190476,2.1
"2015-2016",2,11,52.3809523809524,1.90909090909091
"2018-2019",1.866666667,12,57.1428571428571,1.75
"2010-2011",1.633333333,13,61.9047619047619,1.61538461538462
"2002-2003",1.333333333,14,66.6666666666667,1.5
"2014-2015",0.8,15,71.4285714285714,1.4
"2005-2006",0.533333333,16,76.1904761904762,1.3125
"2008-2009",0.533333333,17,80.9523809523809,1.23529411764706
"2004-2005",0.4,18,85.7142857142857,1.16666666666667
"2011-2012",0.4,19,90.4761904761905,1.10526315789474
"2007-2008",0.233333333,20,95.2380952380952,1.05
