Years,x3_hr,rank,Probability,Frequency
"2013-2014",20.1,1,4.34782608695652,23
"2012-2013",15.4666666666667,2,8.69565217391304,11.5
"2017-2018",14.9666666666667,3,13.0434782608696,7.66666666666667
"2011-2012",13.9666666666667,4,17.3913043478261,5.75
"2020-2021",13.9,5,21.7391304347826,4.6
"2019-2020",13.7666666666667,6,26.0869565217391,3.83333333333333
"2004-2005",13.0333333333333,7,30.4347826086957,3.28571428571429
"2002-2003",11.5333333333333,8,34.7826086956522,2.875
"2007-2008",11.5333333333333,9,39.1304347826087,2.55555555555556
"2014-2015",11.2,10,43.4782608695652,2.3
"2010-2011",11.1,11,47.8260869565217,2.09090909090909
"2006-2007",11.0666666666667,12,52.1739130434783,1.91666666666667
"2003-2004",10.9666666666667,13,56.5217391304348,1.76923076923077
"2009-2010",10.8,14,60.8695652173913,1.64285714285714
"2008-2009",10.1333333333333,15,65.2173913043478,1.53333333333333
"2016-2017",10.0666666666667,16,69.5652173913043,1.4375
"2000-2001",9.9,17,73.9130434782609,1.35294117647059
"2018-2019",9.36666666666667,18,78.2608695652174,1.27777777777778
"2005-2006",9,19,82.6086956521739,1.21052631578947
"2015-2016",8.6,20,86.9565217391304,1.15
"1999-2000",8.06666666666667,21,91.304347826087,1.0952380952381
"2001-2002",6.3,22,95.6521739130435,1.04545454545455
