Years,x3_hr,rank,Probability,Frequency
"2020-2021",15.26666667,1,5.55555555555556,18
"2014-2015",14.33333333,2,11.1111111111111,9
"2009-2010",14.3,3,16.6666666666667,6
"2011-2012",13,4,22.2222222222222,4.5
"2008-2009",12.03333333,5,27.7777777777778,3.6
"2021-2022",12,6,33.3333333333333,3
"2019-2020",11.6,7,38.8888888888889,2.57142857142857
"2017-2018",11.23333333,8,44.4444444444444,2.25
"2018-2019",11.1,9,50,2
"2010-2011",10.53333333,10,55.5555555555556,1.8
"2013-2014",10.3,11,61.1111111111111,1.63636363636364
"2007-2008",10.13333333,12,66.6666666666667,1.5
"2015-2016",10.13333333,13,72.2222222222222,1.38461538461538
"2012-2013",9.666666667,14,77.7777777777778,1.28571428571429
"2006-2007",9,15,83.3333333333333,1.2
"2005-2006",8.8,16,88.8888888888889,1.125
"2016-2017",7.833333333,17,94.4444444444444,1.05882352941176
