Years,x3_hr,rank,Probability,Frequency
"2009-2010",12.7333333333333,1,6.25,16
"2019-2020",11.1,2,12.5,8
"2008-2009",10.7333333333333,3,18.75,5.33333333333333
"2018-2019",9.93333333333333,4,25,4
"2017-2018",9.56666666666667,5,31.25,3.2
"2015-2016",8.93333333333333,6,37.5,2.66666666666667
"2016-2017",8.76666666666667,7,43.75,2.28571428571429
"2012-2013",8.56666666666667,8,50,2
"2014-2015",8.23333333333333,9,56.25,1.77777777777778
"2007-2008",8.06666666666667,10,62.5,1.6
"2020-2021",8.03333333333333,11,68.75,1.45454545454545
"2011-2012",7.23333333333333,12,75,1.33333333333333
"2013-2014",6.6,13,81.25,1.23076923076923
"2010-2011",6.56666666666667,14,87.5,1.14285714285714
"2021-2022",6.53333333333333,15,93.75,1.06666666666667
