Years,x3_hr,rank,Probability,Frequency
"2005-2006",15.3,1,4.76190476190476,21
"2014-2015",14.8666666666667,2,9.52380952380952,10.5
"2009-2010",14.2,3,14.2857142857143,7
"2021-2022",13.9666666666667,4,19.047619047619,5.25
"2016-2017",13.7333333333333,5,23.8095238095238,4.2
"2013-2014",12.2666666666667,6,28.5714285714286,3.5
"2018-2019",11.6,7,33.3333333333333,3
"2004-2005",11.2,8,38.0952380952381,2.625
"2006-2007",10.5666666666667,9,42.8571428571429,2.33333333333333
"2012-2013",10.4666666666667,10,47.6190476190476,2.1
"2020-2021",9.66666666666667,11,52.3809523809524,1.90909090909091
"2019-2020",8.96666666666667,12,57.1428571428571,1.75
"2003-2004",8.06666666666667,13,61.9047619047619,1.61538461538462
"2007-2008",7.86666666666667,14,66.6666666666667,1.5
"2008-2009",7.76666666666667,15,71.4285714285714,1.4
"2015-2016",7.63333333333333,16,76.1904761904762,1.3125
"2010-2011",7.23333333333333,17,80.9523809523809,1.23529411764706
"2017-2018",6.9,18,85.7142857142857,1.16666666666667
"2011-2012",6.26666666666667,19,90.4761904761905,1.10526315789474
"2002-2003",5.3,20,95.2380952380952,1.05
