Years,x3_hr,rank,Probability,Frequency
"2009-2010",13.1666666666667,1,6.25,16
"2014-2015",8.96666666666667,2,12.5,8
"2016-2017",8.93333333333333,3,18.75,5.33333333333333
"2015-2016",8.2,4,25,4
"2020-2021",8.13333333333333,5,31.25,3.2
"2021-2022",8.1,6,37.5,2.66666666666667
"2012-2013",7.9,7,43.75,2.28571428571429
"2010-2011",7.86666666666667,8,50,2
"2008-2009",7.66666666666667,9,56.25,1.77777777777778
"2007-2008",7.63333333333333,10,62.5,1.6
"2013-2014",7.23333333333333,11,68.75,1.45454545454545
"2018-2019",6.9,12,75,1.33333333333333
"2011-2012",6.06666666666667,13,81.25,1.23076923076923
"2019-2020",6.06666666666667,14,87.5,1.14285714285714
"2017-2018",5.6,15,93.75,1.06666666666667
