Years,x3_hr,rank,Probability,Frequency
"2021-2022",13.3,1,6.66666666666667,15
"2009-2010",10.4,2,13.3333333333333,7.5
"2015-2016",9.73333333333333,3,20,5
"2019-2020",8.5,4,26.6666666666667,3.75
"2017-2018",8.23333333333333,5,33.3333333333333,3
"2018-2019",8.23333333333333,6,40,2.5
"2008-2009",7.26666666666667,7,46.6666666666667,2.14285714285714
"2012-2013",6.8,8,53.3333333333333,1.875
"2016-2017",6.46666666666667,9,60,1.66666666666667
"2007-2008",6.23333333333333,10,66.6666666666667,1.5
"2014-2015",5.96666666666667,11,73.3333333333333,1.36363636363636
"2010-2011",5.9,12,80,1.25
"2020-2021",5.63333333333333,13,86.6666666666667,1.15384615384615
"2013-2014",5.36666666666667,14,93.3333333333333,1.07142857142857
