Years,x3_hr,rank,Probability,Frequency
"2014-2015",14.2,1,3.84615384615385,26
"2013-2014",11.9,2,7.69230769230769,13
"2004-2005",11.7,3,11.5384615384615,8.66666666666667
"2008-2009",11.63333333,4,15.3846153846154,6.5
"2000-2001",11.33333333,5,19.2307692307692,5.2
"2020-2021",10.66666667,6,23.0769230769231,4.33333333333333
"2010-2011",9.533333333,7,26.9230769230769,3.71428571428571
"2021-2022",9.5,8,30.7692307692308,3.25
"2011-2012",9.066666667,9,34.6153846153846,2.88888888888889
"2019-2020",8.466666667,10,38.4615384615385,2.6
"2001-2002",7.833333333,11,42.3076923076923,2.36363636363636
"2018-2019",7.766666667,12,46.1538461538462,2.16666666666667
"2007-2008",7.6,13,50,2
"2015-2016",7.466666667,14,53.8461538461538,1.85714285714286
"2003-2004",7.433333333,15,57.6923076923077,1.73333333333333
"1996-1997",7.366666667,16,61.5384615384615,1.625
"1997-1998",7.366666667,17,65.3846153846154,1.52941176470588
"2006-2007",7.133333333,18,69.2307692307692,1.44444444444444
"2012-2013",6.866666667,19,73.0769230769231,1.36842105263158
"1995-1996",6.566666667,20,76.9230769230769,1.3
"2017-2018",6.466666667,21,80.7692307692308,1.23809523809524
"2009-2010",6.033333333,22,84.6153846153846,1.18181818181818
"2002-2003",5.566666667,23,88.4615384615385,1.1304347826087
"2005-2006",5.1,24,92.3076923076923,1.08333333333333
"2016-2017",4.066666667,25,96.1538461538462,1.04
