Years,x3_hr,rank,Probability,Frequency
"2019-2020",7.5,1,8.33333333333333,12
"2017-2018",7.43333333333333,2,16.6666666666667,6
"2014-2015",6.7,3,25,4
"2020-2021",6.26666666666667,4,33.3333333333333,3
"2016-2017",5.43333333333333,5,41.6666666666667,2.4
"2018-2019",5.43333333333333,6,50,2
"2013-2014",5.4,7,58.3333333333333,1.71428571428571
"2012-2013",5.3,8,66.6666666666667,1.5
"2015-2016",5.3,9,75,1.33333333333333
"2021-2022",5.26666666666667,10,83.3333333333333,1.2
"2011-2012",5.2,11,91.6666666666667,1.09090909090909
