Years,x3_hr,rank,Probability,Frequency
"2000-2001",12.2333333333333,1,4.16666666666667,24
"2013-2014",11.0333333333333,2,8.33333333333333,12
"2015-2016",9.6,3,12.5,8
"2004-2005",7.83333333333333,4,16.6666666666667,6
"2017-2018",7.8,5,20.8333333333333,4.8
"2016-2017",7.4,6,25,4
"2009-2010",6.96666666666667,7,29.1666666666667,3.42857142857143
"2021-2022",6.7,8,33.3333333333333,3
"2008-2009",6.13333333333333,9,37.5,2.66666666666667
"2014-2015",5.9,10,41.6666666666667,2.4
"2019-2020",5.56666666666667,11,45.8333333333333,2.18181818181818
"2001-2002",5.36666666666667,12,50,2
"2012-2013",5.36666666666667,13,54.1666666666667,1.84615384615385
"2018-2019",5.3,14,58.3333333333333,1.71428571428571
"2011-2012",5.23333333333333,15,62.5,1.6
"1999-2000",4.93333333333333,16,66.6666666666667,1.5
"2007-2008",4.76666666666667,17,70.8333333333333,1.41176470588235
"2020-2021",4.73333333333333,18,75,1.33333333333333
"2010-2011",4.36666666666667,19,79.1666666666667,1.26315789473684
"2002-2003",3.86666666666667,20,83.3333333333333,1.2
"2005-2006",3.36666666666667,21,87.5,1.14285714285714
"2003-2004",3.16666666666667,22,91.6666666666667,1.09090909090909
"2006-2007",2.1,23,95.8333333333333,1.04347826086957
