Years,x3_hr,rank,Probability,Frequency
"2012-2013",22,1,7.14285714285714,14
"2017-2018",18.5666666666667,2,14.2857142857143,7
"2014-2015",17.1333333333333,3,21.4285714285714,4.66666666666667
"2019-2020",15.3333333333333,4,28.5714285714286,3.5
"2009-2010",12.3666666666667,5,35.7142857142857,2.8
"2021-2022",11.6666666666667,6,42.8571428571429,2.33333333333333
"2010-2011",10.9,7,50,2
"2013-2014",10.6,8,57.1428571428571,1.75
"2016-2017",10.5666666666667,9,64.2857142857143,1.55555555555556
"2020-2021",9.83333333333333,10,71.4285714285714,1.4
"2018-2019",8.86666666666667,11,78.5714285714286,1.27272727272727
"2011-2012",8.8,12,85.7142857142857,1.16666666666667
"2015-2016",4.6,13,92.8571428571429,1.07692307692308
