Years,x3_hr,rank,Probability,Frequency
"2014-2015",20.402,1,4.76190476190476,21
"2015-2016",11.7333333333333,2,9.52380952380952,10.5
"2012-2013",10.8666666666667,3,14.2857142857143,7
"2019-2020",10.8333333333333,4,19.047619047619,5.25
"2009-2010",10.6333333333333,5,23.8095238095238,4.2
"2020-2021",10.4333333333333,6,28.5714285714286,3.5
"2002-2003",9.9,7,33.3333333333333,3
"2010-2011",9.6,8,38.0952380952381,2.625
"2021-2022",9.2,9,42.8571428571429,2.33333333333333
"2006-2007",9.06666666666667,10,47.6190476190476,2.1
"2017-2018",8.9,11,52.3809523809524,1.90909090909091
"2005-2006",8.6,12,57.1428571428571,1.75
"2013-2014",8.33333333333333,13,61.9047619047619,1.61538461538462
"2016-2017",8.1,14,66.6666666666667,1.5
"2004-2005",7.96666666666667,15,71.4285714285714,1.4
"2011-2012",7.23333333333333,16,76.1904761904762,1.3125
"2003-2004",6.56666666666667,17,80.9523809523809,1.23529411764706
"2007-2008",6.56666666666667,18,85.7142857142857,1.16666666666667
"2008-2009",6,19,90.4761904761905,1.10526315789474
"2018-2019",6,20,95.2380952380952,1.05
