Years,x3_hr,rank,Probability,Frequency
"2009-2010",13.3666666666667,1,5.55555555555556,18
"2019-2020",12.1333333333333,2,11.1111111111111,9
"2005-2006",11.9333333333333,3,16.6666666666667,6
"2014-2015",10.1666666666667,4,22.2222222222222,4.5
"2020-2021",9.73333333333333,5,27.7777777777778,3.6
"2018-2019",9.5,6,33.3333333333333,3
"2016-2017",9.33333333333333,7,38.8888888888889,2.57142857142857
"2006-2007",9.3,8,44.4444444444444,2.25
"2012-2013",9.3,9,50,2
"2013-2014",8.7,10,55.5555555555556,1.8
"2017-2018",8.1,11,61.1111111111111,1.63636363636364
"2010-2011",7.86666666666667,12,66.6666666666667,1.5
"2008-2009",7.73333333333333,13,72.2222222222222,1.38461538461538
"2011-2012",7.6,14,77.7777777777778,1.28571428571429
"2021-2022",7.46666666666667,15,83.3333333333333,1.2
"2015-2016",7.03333333333333,16,88.8888888888889,1.125
"2007-2008",5.96666666666667,17,94.4444444444444,1.05882352941176
