Years,x40_min,rank,Probability,Frequency
"2004-2005",23.85,1,4,25
"2012-2013",22.35,2,8,12.5
"2005-2006",22.05,3,12,8.33333333333333
"2020-2021",21.15,4,16,6.25
"2001-2002",20.85,5,20,5
"2007-2008",19.65,6,24,4.16666666666667
"2006-2007",19.5,7,28,3.57142857142857
"2002-2003",18.45,8,32,3.125
"2013-2014",18.3,9,36,2.77777777777778
"1998-1999",17.1,10,40,2.5
"2000-2001",16.95,11,44,2.27272727272727
"2010-2011",16.95,12,48,2.08333333333333
"2019-2020",16.8,13,52,1.92307692307692
"2014-2015",16.5,14,56,1.78571428571429
"2009-2010",16.35,15,60,1.66666666666667
"2018-2019",15.3,16,64,1.5625
"2003-2004",14.85,17,68,1.47058823529412
"2015-2016",14.85,18,72,1.38888888888889
"1999-2000",14.7,19,76,1.31578947368421
"2016-2017",14.7,20,80,1.25
"2011-2012",13.95,21,84,1.19047619047619
"2017-2018",13.8,22,88,1.13636363636364
"2021-2022",13.05,23,92,1.08695652173913
"2008-2009",12.3,24,96,1.04166666666667
