Years,x40_min,rank,Probability,Frequency
"2008-2009",43.05,1,3.84615384615385,26
"2000-2001",40.05,2,7.69230769230769,13
"2014-2015",33.3,3,11.5384615384615,8.66666666666667
"2011-2012",31.5,4,15.3846153846154,6.5
"1995-1996",29.55,5,19.2307692307692,5.2
"2020-2021",29.55,6,23.0769230769231,4.33333333333333
"2009-2010",25.2,7,26.9230769230769,3.71428571428571
"2013-2014",24.75,8,30.7692307692308,3.25
"1996-1997",24,9,34.6153846153846,2.88888888888889
"2017-2018",24,10,38.4615384615385,2.6
"2004-2005",23.7,11,42.3076923076923,2.36363636363636
"2010-2011",22.95,12,46.1538461538462,2.16666666666667
"2002-2003",21.6,13,50,2
"1997-1998",17.7,14,53.8461538461538,1.85714285714286
"2018-2019",17.7,15,57.6923076923077,1.73333333333333
"2003-2004",17.55,16,61.5384615384615,1.625
"2015-2016",16.65,17,65.3846153846154,1.52941176470588
"2019-2020",16.2,18,69.2307692307692,1.44444444444444
"2005-2006",16.05,19,73.0769230769231,1.36842105263158
"2001-2002",14.7,20,76.9230769230769,1.3
"2007-2008",14.1,21,80.7692307692308,1.23809523809524
"2006-2007",13.35,22,84.6153846153846,1.18181818181818
"2021-2022",13.35,23,88.4615384615385,1.1304347826087
"2012-2013",12.6,24,92.3076923076923,1.08333333333333
"2016-2017",10.95,25,96.1538461538462,1.04
