Years,x40_min,rank,Probability,Frequency
"2012-2013",56.4,1,7.14285714285714,14
"2010-2011",42.75,2,14.2857142857143,7
"2017-2018",42.3,3,21.4285714285714,4.66666666666667
"2011-2012",39.15,4,28.5714285714286,3.5
"2016-2017",33.3,5,35.7142857142857,2.8
"2019-2020",30.6,6,42.8571428571429,2.33333333333333
"2020-2021",29.55,7,50,2
"2009-2010",27.75,8,57.1428571428571,1.75
"2018-2019",25.5,9,64.2857142857143,1.55555555555556
"2013-2014",24.9,10,71.4285714285714,1.4
"2014-2015",24.9,11,78.5714285714286,1.27272727272727
"2021-2022",22.5,12,85.7142857142857,1.16666666666667
"2015-2016",18.6,13,92.8571428571429,1.07692307692308
