Years,x40_min,rank,Probability,Frequency
"2017-2018",35.4,1,3.84615384615385,26
"2019-2020",29.4,2,7.69230769230769,13
"2012-2013",28.95,3,11.5384615384615,8.66666666666667
"2005-2006",28.65,4,15.3846153846154,6.5
"2001-2002",28.35,5,19.2307692307692,5.2
"2006-2007",25.65,6,23.0769230769231,4.33333333333333
"2015-2016",24,7,26.9230769230769,3.71428571428571
"2020-2021",24,8,30.7692307692308,3.25
"2004-2005",21.9,9,34.6153846153846,2.88888888888889
"2010-2011",21.6,10,38.4615384615385,2.6
"2018-2019",19.95,11,42.3076923076923,2.36363636363636
"2016-2017",18.75,12,46.1538461538462,2.16666666666667
"2002-2003",18.15,13,50,2
"2009-2010",16.5,14,53.8461538461538,1.85714285714286
"2003-2004",16.35,15,57.6923076923077,1.73333333333333
"2008-2009",15.9,16,61.5384615384615,1.625
"1998-1999",14.1,17,65.3846153846154,1.52941176470588
"2013-2014",13.8,18,69.2307692307692,1.44444444444444
"2014-2015",12.75,19,73.0769230769231,1.36842105263158
"1996-1997",12.45,20,76.9230769230769,1.3
"2007-2008",12.15,21,80.7692307692308,1.23809523809524
"2021-2022",11.25,22,84.6153846153846,1.18181818181818
"2011-2012",10.35,23,88.4615384615385,1.1304347826087
"1997-1998",10.05,24,92.3076923076923,1.08333333333333
"1999-2000",9.9,25,96.1538461538462,1.04
