Years,x40_min,rank,Probability,Frequency
"2018-2019",31.5,1,7.69230769230769,13
"2015-2016",25.8,2,15.3846153846154,6.5
"2014-2015",18.15,3,23.0769230769231,4.33333333333333
"2021-2022",15.75,4,30.7692307692308,3.25
"2013-2014",12.9,5,38.4615384615385,2.6
"2010-2011",11.1,6,46.1538461538462,2.16666666666667
"2016-2017",9.9,7,53.8461538461538,1.85714285714286
"2009-2010",8.4,8,61.5384615384615,1.625
"2019-2020",8.25,9,69.2307692307692,1.44444444444444
"2020-2021",5.25,10,76.9230769230769,1.3
"2017-2018",3.75,11,84.6153846153846,1.18181818181818
"2011-2012",0.15,12,92.3076923076923,1.08333333333333
