Years,x40_min,rank,Probability,Frequency
"2014-2015",34.149,1,4.76190476190476,21
"2018-2019",25.95,2,9.52380952380952,10.5
"2009-2010",23.1,3,14.2857142857143,7
"2007-2008",21.15,4,19.047619047619,5.25
"2015-2016",20.7,5,23.8095238095238,4.2
"2012-2013",20.1,6,28.5714285714286,3.5
"2016-2017",19.95,7,33.3333333333333,3
"2008-2009",19.5,8,38.0952380952381,2.625
"2013-2014",19.5,9,42.8571428571429,2.33333333333333
"2005-2006",19.35,10,47.6190476190476,2.1
"2019-2020",18.9,11,52.3809523809524,1.90909090909091
"2021-2022",18.45,12,57.1428571428571,1.75
"2017-2018",18,13,61.9047619047619,1.61538461538462
"2004-2005",17.85,14,66.6666666666667,1.5
"2020-2021",17.4,15,71.4285714285714,1.4
"2011-2012",16.95,16,76.1904761904762,1.3125
"2010-2011",14.85,17,80.9523809523809,1.23529411764706
"2006-2007",13.95,18,85.7142857142857,1.16666666666667
"2002-2003",13.5,19,90.4761904761905,1.10526315789474
"2003-2004",10.8,20,95.2380952380952,1.05
