Years,x40_min,rank,Probability,Frequency
"2005-2006",60.45,1,3.2258064516129,31
"1997-1998",58.8,2,6.45161290322581,15.5
"2016-2017",53.4,3,9.67741935483871,10.3333333333333
"2017-2018",51.75,4,12.9032258064516,7.75
"2015-2016",46.8,5,16.1290322580645,6.2
"2021-2022",44.25,6,19.3548387096774,5.16666666666667
"2019-2020",42.75,7,22.5806451612903,4.42857142857143
"2001-2002",39.15,8,25.8064516129032,3.875
"1992-1993",36.375,9,29.0322580645161,3.44444444444444
"2010-2011",33.3,10,32.258064516129,3.1
"2007-2008",32.25,11,35.4838709677419,2.81818181818182
"2020-2021",31.8,12,38.7096774193548,2.58333333333333
"1996-1997",31.2,13,41.9354838709677,2.38461538461538
"2013-2014",30.6,14,45.1612903225806,2.21428571428571
"2011-2012",29.55,15,48.3870967741936,2.06666666666667
"1998-1999",28.65,16,51.6129032258064,1.9375
"2002-2003",28.35,17,54.8387096774194,1.82352941176471
"1991-1992",26.946,18,58.0645161290323,1.72222222222222
"2009-2010",25.2,19,61.2903225806452,1.63157894736842
"2003-2004",24.45,20,64.5161290322581,1.55
"2014-2015",21.3,21,67.741935483871,1.47619047619048
"2012-2013",21.15,22,70.9677419354839,1.40909090909091
"1990-1991",20.625,23,74.1935483870968,1.34782608695652
"2000-2001",19.5,24,77.4193548387097,1.29166666666667
"2004-2005",19.5,25,80.6451612903226,1.24
"2006-2007",18.6,26,83.8709677419355,1.19230769230769
"1995-1996",18.375,27,87.0967741935484,1.14814814814815
"2008-2009",17.4,28,90.3225806451613,1.10714285714286
"1993-1994",17.25,29,93.5483870967742,1.06896551724138
"2018-2019",16.35,30,96.7741935483871,1.03333333333333
