Years,x4_5_hr,rank,Probability,Frequency
"2019-2020",9.77777777777778,1,3.57142857142857,28
"2010-2011",8.77777777777778,2,7.14285714285714,14
"2007-2008",8.75555555555555,3,10.7142857142857,9.33333333333333
"2001-2002",8.51111111111111,4,14.2857142857143,7
"1997-1998",7.84444444444444,5,17.8571428571429,5.6
"2002-2003",7.08888888888889,6,21.4285714285714,4.66666666666667
"2020-2021",6.93333333333333,7,25,4
"2013-2014",6.91111111111111,8,28.5714285714286,3.5
"2016-2017",6.62222222222222,9,32.1428571428571,3.11111111111111
"2015-2016",6.37777777777778,10,35.7142857142857,2.8
"2006-2007",6.33333333333333,11,39.2857142857143,2.54545454545455
"2011-2012",6.08888888888889,12,42.8571428571429,2.33333333333333
"2000-2001",6.06666666666667,13,46.4285714285714,2.15384615384615
"2012-2013",5.8,14,50,2
"2003-2004",5.68888888888889,15,53.5714285714286,1.86666666666667
"2005-2006",5.4,16,57.1428571428571,1.75
"2004-2005",5.35555555555556,17,60.7142857142857,1.64705882352941
"2014-2015",5.2,18,64.2857142857143,1.55555555555556
"2017-2018",4.93333333333333,19,67.8571428571429,1.47368421052632
"2009-2010",4.84444444444444,20,71.4285714285714,1.4
"1996-1997",4.77777777777778,21,75,1.33333333333333
"2018-2019",4.6,22,78.5714285714286,1.27272727272727
"2008-2009",4.08888888888889,23,82.1428571428571,1.21739130434783
"2021-2022",3.86666666666667,24,85.7142857142857,1.16666666666667
"1999-2000",2.62222222222222,25,89.2857142857143,1.12
"1995-1996",1.86666666666667,26,92.8571428571429,1.07692307692308
"1998-1999",0.488888888888889,27,96.4285714285714,1.03703703703704
